point,LSTM_RMSE,samples
point834,0.06640242813011613,131
point787,0.017064172644480756,131
point488,0.016025388427484587,131
point157,0.013450096986061777,131
point198,0.010635393047071503,131
point810,0.00988456720192415,131
point472,0.00889922026292728,131
point435,0.008298279890571634,131
point340,0.007120867331179828,131
point742,0.007019303177349991,131
point70,0.007005393472068997,131
point776,0.006744108654574688,131
point949,0.0065445865286761305,131
point886,0.006541251510886491,131
point851,0.006467259679900945,131
point190,0.006150259118914245,131
point556,0.006099664337836223,131
point930,0.006054468997141794,131
point829,0.006037176395361742,131
point838,0.005985401910971099,131
point52,0.005854336870419716,131
point860,0.005845979029501211,131
point512,0.0058251833256758615,131
point258,0.005771976414876327,131
point576,0.005649106936505522,131
point251,0.0056412176374230835,131
point918,0.005615939724756942,131
point348,0.005545013814381297,131
point719,0.005520476465048136,131
point849,0.005450038262275447,131
point139,0.0054451116026730684,131
point913,0.005434342918998947,131
point471,0.005434042406580153,131
point66,0.005418201429384263,131
point275,0.005413597214824936,131
point722,0.005400079282513973,131
point232,0.005391063904594396,131
point608,0.0053389122265934084,131
point948,0.005326341710964794,131
point699,0.005287670026682048,131
point602,0.005280696943260888,131
point694,0.005270665495494566,131
point568,0.00526845623621995,131
point826,0.005262659862808247,131
point783,0.00525386563670616,131
point555,0.005229761295501532,131
point207,0.005218588977856283,131
point501,0.005215936219938575,131
point618,0.005208335243806225,131
point315,0.00518812350195327,131
point977,0.00517037493765503,131
point350,0.005115591772689265,131
point569,0.005081649519367408,131
point528,0.005080331380047058,131
point903,0.005051926459252568,131
point579,0.005051926459252568,131
point526,0.0050304712701803485,131
point911,0.0050280116807094235,131
point986,0.005019968086776315,131
point304,0.005008117218224083,131
point341,0.0049860779591547385,131
point945,0.004982351344224469,131
point277,0.004966092966366781,131
point413,0.004957953192752626,131
point38,0.0049487381827533865,131
point459,0.004942857472165701,131
point394,0.0049390656779218075,131
point410,0.004934448403763238,131
point605,0.004925849570141671,131
point865,0.0049023696378778965,131
point167,0.0048708344182853,131
point370,0.004859092001097041,131
point736,0.004857024914287231,131
point305,0.004854629713807552,131
point521,0.004850201175065196,131
point368,0.0048197669132405115,131
point151,0.0048093218825225915,131
point347,0.0047853491102785315,131
point646,0.004784035614150495,131
point700,0.004780597843769719,131
point19,0.004779190018334498,131
point592,0.0047477887935085785,131
point414,0.004742027756163275,131
point108,0.004733972060656577,131
point234,0.004727112332541628,131
point83,0.00472344590058397,131
point104,0.004705208657512903,131
point896,0.004704450425880091,131
point508,0.004694718307637545,131
point893,0.004693068567791719,131
point516,0.004686573806650564,131
point869,0.004663011344752949,131
point723,0.004648896138613686,131
point450,0.004638028935560143,131
point281,0.004621423973907074,131
point127,0.004605835619473064,131
point772,0.004601368693575592,131
point213,0.004598036253940414,131
point235,0.00459558909032462,131
point75,0.004590460821154146,131
point995,0.004588582385739616,131
point124,0.004584087039982869,131
point818,0.004570883012169828,131
point241,0.004553846422424734,131
point105,0.0045509310300735455,131
point705,0.00453553176134637,131
point807,0.004534477128391974,131
point178,0.004533663667906918,131
point749,0.004520355352227468,131
point661,0.004518470238715364,131
point924,0.0045110508918019855,131
point224,0.0045063268469382745,131
point878,0.0045000146399731345,131
point342,0.004494279968250834,131
point734,0.004484829233343694,131
point529,0.004484722146940095,131
point993,0.004467348924917444,131
point159,0.004466568665011073,131
point566,0.004464576410571477,131
point711,0.004459063308891659,131
point630,0.0044569165441670005,131
point250,0.0044531342644401955,131
point177,0.00445270028517588,131
point135,0.004446756715392019,131
point186,0.004431353816694497,131
point739,0.004428962083984947,131
point921,0.004428716122860525,131
point782,0.004428154215901318,131
point557,0.0043992245316952705,131
point792,0.004385121249817734,131
point614,0.004383739208738416,131
point487,0.0043792887624377694,131
point712,0.0043786418432268754,131
point745,0.004349169182016256,131
point584,0.0043424856081415,131
point263,0.004341498232688942,131
point863,0.004338151963637095,131
point53,0.004331743245130489,131
point15,0.00432340709911799,131
point874,0.004318104555587765,131
point407,0.0043135911059424305,131
point29,0.0043115614502016435,131
point774,0.004308810893801,131
point165,0.0043081101367053246,131
point22,0.0042956849024968925,131
point257,0.00429054663624267,131
point311,0.004286581544895346,131
point188,0.004278970211276939,131
point35,0.004255777473522999,131
point937,0.004250800710813872,131
point567,0.004249325155832943,131
point430,0.00424928076467595,131
point545,0.004247275183270921,131
point950,0.004242674268068853,131
point992,0.0042363808182201874,131
point446,0.00422500506981276,131
point623,0.004223388935407728,131
point899,0.0042230966384358215,131
point154,0.004199770234364065,131
point103,0.004188456290857398,131
point220,0.004186000183271118,131
point329,0.004175950554540329,131
point208,0.00417437673599315,131
point163,0.004166850643634321,131
point37,0.004160305011199288,131
point796,0.004148585841495445,131
point767,0.004147195093845388,131
point586,0.004146352215224574,131
point401,0.004137137762118928,131
point101,0.004119123301865,131
point876,0.004101658825764029,131
point561,0.004100596238511566,131
point543,0.004085633921211616,131
point423,0.004082038183682414,131
point264,0.004075780908677184,131
point480,0.0040413742958168705,131
point959,0.004034054934308353,131
point847,0.004000375671916079,131
point114,0.003997800623837909,131
point146,0.0039962896949227505,131
point673,0.003978026312454957,131
point654,0.003963272351949612,131
point844,0.0039617037053585845,131
point769,0.0039589504804551584,131
point546,0.003958525882690299,131
point129,0.00395558092703922,131
point73,0.003950743464894246,131
point578,0.003949982909444722,131
point657,0.003948253907965596,131
point463,0.003947605357112366,131
point12,0.0039444772127255915,131
point877,0.00394430329708217,131
point813,0.003943520030714415,131
point858,0.003941797146818683,131
point682,0.003937309047493515,131
point464,0.003932518314515815,131
point328,0.003927767392356765,131
point187,0.0039119260177655005,131
point57,0.0038918120729154017,131
point908,0.0038858197520064185,131
point631,0.00387787558301819,131
point25,0.0038754471192467446,131
point669,0.003870492165292628,131
point372,0.0038660392340928228,131
point252,0.0038637275631051484,131
point695,0.0038613560957889165,131
point731,0.003859870827412384,131
point323,0.0038565302015949143,131
point634,0.0038555041776224467,131
point784,0.0038503191922093206,131
point801,0.0038483424914234703,131
point887,0.003847176012114311,131
point853,0.003838351282069538,131
point791,0.0038305271446034002,131
point785,0.003825875078922747,131
point395,0.003822287823652479,131
point249,0.003820880399630748,131
point507,0.0038183742313691454,131
point262,0.003814474833451438,131
point461,0.00381395853179981,131
point11,0.003804840023018968,131
point462,0.0038037366894838063,131
point565,0.00379468649825019,131
point702,0.0037822096947740386,131
point111,0.0037752317241484395,131
point965,0.003774956171269456,131
point209,0.0037716529570506613,131
point268,0.003767022772096032,131
point820,0.0037655051664932113,131
point225,0.0037637824367369216,131
point668,0.0037615335063114594,131
