point,date,pred_TimeGPT
point977,2020-01-13,0.5877043
point977,2020-01-28,0.58722997
point977,2020-02-12,0.5868253
point977,2020-02-27,0.58717144
point977,2020-03-13,0.58812976
point977,2020-03-28,0.58804435
point977,2020-04-12,0.5873327
point977,2020-04-27,0.58633447
point977,2020-05-12,0.58696985
point977,2020-05-27,0.58706385
point977,2020-06-11,0.587487
point977,2020-06-26,0.5877892
point977,2020-07-11,0.58732206
point977,2020-07-26,0.5871243
point977,2020-08-10,0.58689046
point977,2020-08-25,0.586346
point977,2020-09-09,0.58625543
point977,2020-09-24,0.5864531
point977,2020-10-09,0.58637
point977,2020-10-24,0.58648473
point977,2020-11-08,0.58651763
point977,2020-11-23,0.5857609
point977,2020-12-08,0.58561605
point977,2020-12-23,0.58530295
point977,2021-01-07,0.58521897
point977,2021-01-22,0.5853507
point977,2021-02-06,0.5852672
point977,2021-02-21,0.5853254
point977,2021-03-08,0.58543843
point977,2021-03-23,0.5854231
point977,2021-04-07,0.58536553
point977,2021-04-22,0.58534956
point977,2021-05-07,0.5853833
point977,2021-05-22,0.58547145
point977,2021-06-06,0.58554596
point977,2021-06-21,0.5855538
point977,2021-07-06,0.58554024
point977,2021-07-21,0.58555716
point977,2021-08-05,0.5856649
point977,2021-08-20,0.58576685
point977,2021-09-04,0.58579844
point977,2021-09-19,0.5858145
point977,2021-10-04,0.58585584
point977,2021-10-19,0.58577293
point977,2021-11-03,0.5857112
point977,2021-11-18,0.58585936
point977,2021-12-03,0.58597517
point977,2021-12-18,0.5859935
point977,2022-01-02,0.5860016
point977,2022-01-17,0.5859698
point977,2022-02-01,0.58585525
point977,2022-02-16,0.5857212
point977,2022-03-03,0.58582044
point977,2022-03-18,0.5859848
point977,2022-04-02,0.58601445
point977,2022-04-17,0.586016
point977,2022-05-02,0.5859909
point977,2022-05-17,0.58586246
point977,2022-06-01,0.58573985
point977,2022-06-16,0.5858612
point977,2022-07-01,0.58599985
point977,2022-07-16,0.58602875
point977,2022-07-31,0.5860382
point977,2022-08-15,0.5860062
point977,2022-08-30,0.5858734
point977,2022-09-14,0.585722
point977,2022-09-29,0.585837
point977,2022-10-14,0.58599085
point977,2022-10-29,0.5860214
point977,2022-11-13,0.5860343
point977,2022-11-28,0.5859852
point977,2022-12-13,0.58586437
point977,2022-12-28,0.5857265
point977,2023-01-12,0.5858324
point977,2023-01-27,0.5859788
point977,2023-02-11,0.5859995
point977,2023-02-26,0.58599645
point977,2023-03-13,0.58595353
point977,2023-03-28,0.5858521
point977,2023-04-12,0.5857191
point977,2023-04-27,0.5858015
point977,2023-05-12,0.58595204
point977,2023-05-27,0.58597153
point977,2023-06-11,0.5859647
point977,2023-06-26,0.5859198
point977,2023-07-11,0.5858282
point977,2023-07-26,0.585706
point977,2023-08-10,0.5857764
point977,2023-08-25,0.5859134
point977,2023-09-09,0.58593184
point977,2023-09-24,0.58592576
point977,2023-10-09,0.5858793
point977,2023-10-24,0.5858001
point977,2023-11-08,0.5856877
point977,2023-11-23,0.58574265
point977,2023-12-08,0.58587044
point977,2023-12-23,0.58588797
point977,2024-01-07,0.58588266
point977,2024-01-22,0.58583647
point977,2024-02-06,0.5857695
point977,2024-02-21,0.58566993
point977,2024-03-07,0.58571196
point977,2024-03-22,0.5858252
point977,2024-04-06,0.58584154
point977,2024-04-21,0.58583766
point977,2024-05-06,0.5857936
point977,2024-05-21,0.5857379
point977,2024-06-05,0.58565044
point977,2024-06-20,0.58568025
point977,2024-07-05,0.5857802
point977,2024-07-20,0.5857953
point977,2024-08-04,0.58579284
point977,2024-08-19,0.5857528
point977,2024-09-03,0.58570653
point977,2024-09-18,0.5856311
point977,2024-10-03,0.5856517
point977,2024-10-18,0.58573806
point977,2024-11-02,0.5857521
point977,2024-11-17,0.5857509
point977,2024-12-02,0.5857158
point977,2024-12-17,0.5856778
point977,2025-01-01,0.5856132
point977,2025-01-16,0.5856268
point977,2025-01-31,0.5857008
point977,2025-02-15,0.58571374
point977,2025-03-02,0.58571345
point977,2025-03-17,0.5856834
point977,2025-04-01,0.5856523
point977,2025-04-16,0.5855973
point977,2025-05-01,0.58560604
point977,2025-05-16,0.5856689
