point,date,pred_TimeGPT,date_original_timegpt
point801,2020-01-13,0.60718143,2020-01-13
point801,2020-01-28,0.6088644,2020-01-28
point801,2020-02-12,0.6098018,2020-02-12
point801,2020-02-27,0.6107066,2020-02-27
point801,2020-03-13,0.6112944,2020-03-13
point801,2020-03-28,0.60943365,2020-03-28
point801,2020-04-12,0.60692286,2020-04-12
point801,2020-04-27,0.60936016,2020-04-27
point801,2020-05-12,0.6076896,2020-05-12
point801,2020-05-27,0.6099704,2020-05-27
point801,2020-06-11,0.61276126,2020-06-11
point801,2020-06-26,0.6119539,2020-06-26
point801,2020-07-11,0.61045146,2020-07-11
point801,2020-07-26,0.6084948,2020-07-26
point801,2020-08-10,0.6096736,2020-08-10
point801,2020-08-25,0.6105486,2020-08-25
point801,2020-09-09,0.61081666,2020-09-09
point801,2020-09-24,0.6121117,2020-09-24
point801,2020-10-09,0.6129116,2020-10-09
point801,2020-10-24,0.61001116,2020-10-24
point801,2020-11-08,0.6099802,2020-11-08
point801,2020-11-23,0.6098322,2020-11-23
point801,2020-12-08,0.61076504,2020-12-08
point801,2020-12-23,0.6111947,2020-12-23
point801,2021-01-07,0.6116237,2021-01-07
point801,2021-01-22,0.61166215,2021-01-22
point801,2021-02-06,0.61048716,2021-02-06
point801,2021-02-21,0.60981804,2021-02-21
point801,2021-03-08,0.609885,2021-03-08
point801,2021-03-23,0.61064863,2021-03-23
point801,2021-04-07,0.6111985,2021-04-07
point801,2021-04-22,0.6121715,2021-04-22
point801,2021-05-07,0.61215466,2021-05-07
point801,2021-05-22,0.610602,2021-05-22
point801,2021-06-06,0.60971355,2021-06-06
point801,2021-06-21,0.6101274,2021-06-21
point801,2021-07-06,0.6104541,2021-07-06
point801,2021-07-21,0.61097926,2021-07-21
point801,2021-08-05,0.61219823,2021-08-05
point801,2021-08-20,0.6121836,2021-08-20
point801,2021-09-04,0.6105989,2021-09-04
point801,2021-09-19,0.61014026,2021-09-19
point801,2021-10-04,0.6102455,2021-10-04
point801,2021-10-19,0.6107045,2021-10-19
point801,2021-11-03,0.6110522,2021-11-03
point801,2021-11-18,0.6120842,2021-11-18
point801,2021-12-03,0.6121591,2021-12-03
point801,2021-12-18,0.6106649,2021-12-18
point801,2022-01-02,0.6102044,2022-01-02
point801,2022-01-17,0.6103294,2022-01-17
point801,2022-02-01,0.6108622,2022-02-01
point801,2022-02-16,0.6112109,2022-02-16
point801,2022-03-03,0.6120543,2022-03-03
point801,2022-03-18,0.6120432,2022-03-18
point801,2022-04-02,0.6107266,2022-04-02
point801,2022-04-17,0.61018324,2022-04-17
point801,2022-05-02,0.6103755,2022-05-02
point801,2022-05-17,0.6107304,2022-05-17
point801,2022-06-01,0.6110868,2022-06-01
point801,2022-06-16,0.6121325,2022-06-16
point801,2022-07-01,0.6121458,2022-07-01
point801,2022-07-16,0.61071783,2022-07-16
point801,2022-07-31,0.61030465,2022-07-31
