point,date,pred_TimeGPT,date_original_timegpt
point701,2020-01-13,0.56363815,2020-01-13
point701,2020-01-28,0.56204295,2020-01-28
point701,2020-02-12,0.56020397,2020-02-12
point701,2020-02-27,0.5593381,2020-02-27
point701,2020-03-13,0.5598779,2020-03-13
point701,2020-03-28,0.56110835,2020-03-28
point701,2020-04-12,0.56309444,2020-04-12
point701,2020-04-27,0.5621719,2020-04-27
point701,2020-05-12,0.56211203,2020-05-12
point701,2020-05-27,0.5622975,2020-05-27
point701,2020-06-11,0.5638387,2020-06-11
point701,2020-06-26,0.56489587,2020-06-26
point701,2020-07-11,0.56467444,2020-07-11
point701,2020-07-26,0.5640331,2020-07-26
point701,2020-08-10,0.5646333,2020-08-10
point701,2020-08-25,0.5650965,2020-08-25
point701,2020-09-09,0.56420827,2020-09-09
point701,2020-09-24,0.5645001,2020-09-24
point701,2020-10-09,0.5654656,2020-10-09
point701,2020-10-24,0.5642307,2020-10-24
point701,2020-11-08,0.5647744,2020-11-08
point701,2020-11-23,0.5642327,2020-11-23
point701,2020-12-08,0.56445605,2020-12-08
point701,2020-12-23,0.5641748,2020-12-23
point701,2021-01-07,0.56415206,2021-01-07
point701,2021-01-22,0.5644029,2021-01-22
point701,2021-02-06,0.5646327,2021-02-06
point701,2021-02-21,0.5646639,2021-02-21
point701,2021-03-08,0.56459194,2021-03-08
point701,2021-03-23,0.5644634,2021-03-23
point701,2021-04-07,0.5642843,2021-04-07
point701,2021-04-22,0.5644109,2021-04-22
point701,2021-05-07,0.5646865,2021-05-07
point701,2021-05-22,0.5647106,2021-05-22
point701,2021-06-06,0.5647307,2021-06-06
point701,2021-06-21,0.5647202,2021-06-21
point701,2021-07-06,0.5646273,2021-07-06
point701,2021-07-21,0.56441724,2021-07-21
point701,2021-08-05,0.56451565,2021-08-05
point701,2021-08-20,0.56472474,2021-08-20
point701,2021-09-04,0.56464636,2021-09-04
point701,2021-09-19,0.5646679,2021-09-19
point701,2021-10-04,0.56465375,2021-10-04
point701,2021-10-19,0.56459135,2021-10-19
point701,2021-11-03,0.5643982,2021-11-03
point701,2021-11-18,0.564455,2021-11-18
point701,2021-12-03,0.5646922,2021-12-03
point701,2021-12-18,0.5646976,2021-12-18
point701,2022-01-02,0.5646907,2022-01-02
point701,2022-01-17,0.5646874,2022-01-17
point701,2022-02-01,0.56459093,2022-02-01
point701,2022-02-16,0.56437963,2022-02-16
point701,2022-03-03,0.5644435,2022-03-03
point701,2022-03-18,0.56468576,2022-03-18
point701,2022-04-02,0.5647085,2022-04-02
point701,2022-04-17,0.564709,2022-04-17
point701,2022-05-02,0.56467915,2022-05-02
point701,2022-05-17,0.5645879,2022-05-17
point701,2022-06-01,0.5644015,2022-06-01
point701,2022-06-16,0.56446075,2022-06-16
point701,2022-07-01,0.5646826,2022-07-01
point701,2022-07-16,0.5647033,2022-07-16
point701,2022-07-31,0.564696,2022-07-31
point701,2022-08-15,0.56467456,2022-08-15
point701,2022-08-30,0.56460214,2022-08-30
point701,2022-09-14,0.5644235,2022-09-14
point701,2022-09-29,0.5644634,2022-09-29
point701,2022-10-14,0.56467956,2022-10-14
point701,2022-10-29,0.56469655,2022-10-29
point701,2022-11-13,0.5646865,2022-11-13
point701,2022-11-28,0.5646713,2022-11-28
point701,2022-12-13,0.56460065,2022-12-13
point701,2022-12-28,0.5644231,2022-12-28
point701,2023-01-12,0.5644592,2023-01-12
point701,2023-01-27,0.5646742,2023-01-27
point701,2023-02-11,0.5646936,2023-02-11
point701,2023-02-26,0.5646858,2023-02-26
point701,2023-03-13,0.56466883,2023-03-13
point701,2023-03-28,0.56460047,2023-03-28
point701,2023-04-12,0.5644282,2023-04-12
point701,2023-04-27,0.5644613,2023-04-27
point701,2023-05-12,0.56467044,2023-05-12
point701,2023-05-27,0.56469065,2023-05-27
point701,2023-06-11,0.56468326,2023-06-11
point701,2023-06-26,0.56466705,2023-06-26
point701,2023-07-11,0.5646038,2023-07-11
point701,2023-07-26,0.56443805,2023-07-26
point701,2023-08-10,0.56446576,2023-08-10
point701,2023-08-25,0.5646669,2023-08-25
point701,2023-09-09,0.5646863,2023-09-09
point701,2023-09-24,0.56467944,2023-09-24
point701,2023-10-09,0.56466544,2023-10-09
point701,2023-10-24,0.5646078,2023-10-24
point701,2023-11-08,0.56444526,2023-11-08
point701,2023-11-23,0.5644675,2023-11-23
point701,2023-12-08,0.5646645,2023-12-08
point701,2023-12-23,0.56468266,2023-12-23
point701,2024-01-07,0.5646762,2024-01-07
point701,2024-01-22,0.56466377,2024-01-22
point701,2024-02-06,0.56460875,2024-02-06
point701,2024-02-21,0.56445026,2024-02-21
point701,2024-03-07,0.56447023,2024-03-07
point701,2024-03-22,0.5646623,2024-03-22
point701,2024-04-06,0.56468034,2024-04-06
point701,2024-04-21,0.56467456,2024-04-21
point701,2024-05-06,0.5646628,2024-05-06
point701,2024-05-21,0.56461066,2024-05-21
point701,2024-06-05,0.56445634,2024-06-05
point701,2024-06-20,0.5644739,2024-06-20
point701,2024-07-05,0.56466067,2024-07-05
point701,2024-07-20,0.5646784,2024-07-20
point701,2024-08-04,0.56467307,2024-08-04
point701,2024-08-19,0.5646623,2024-08-19
point701,2024-09-03,0.56461316,2024-09-03
point701,2024-09-18,0.56446236,2024-09-18
point701,2024-10-03,0.5644772,2024-10-03
point701,2024-10-18,0.5646593,2024-10-18
point701,2024-11-02,0.5646766,2024-11-02
point701,2024-11-17,0.56467164,2024-11-17
point701,2024-12-02,0.5646618,2024-12-02
point701,2024-12-17,0.5646153,2024-12-17
point701,2025-01-01,0.56446767,2025-01-01
point701,2025-01-16,0.5644803,2025-01-16
point701,2025-01-31,0.56465834,2025-01-31
point701,2025-02-15,0.56467515,2025-02-15
point701,2025-03-02,0.56467056,2025-03-02
point701,2025-03-17,0.56466144,2025-03-17
point701,2025-04-01,0.564617,2025-04-01
point701,2025-04-16,0.5644727,2025-04-16
point701,2025-05-01,0.56448376,2025-05-01
point701,2025-05-16,0.56465757,2025-05-16
point702,2020-01-13,0.3923282,2020-01-13
point702,2020-01-28,0.39159822,2020-01-28
point702,2020-02-12,0.3896237,2020-02-12
point702,2020-02-27,0.38917273,2020-02-27
point702,2020-03-13,0.39247805,2020-03-13
point702,2020-03-28,0.39342993,2020-03-28
point702,2020-04-12,0.3919581,2020-04-12
point702,2020-04-27,0.3907463,2020-04-27
point702,2020-05-12,0.38590258,2020-05-12
point702,2020-05-27,0.37868074,2020-05-27
point702,2020-06-11,0.37495512,2020-06-11
point702,2020-06-26,0.37838483,2020-06-26
point702,2020-07-11,0.38287723,2020-07-11
point702,2020-07-26,0.38678128,2020-07-26
