point,date,pred_TimeGPT,date_original_timegpt
point451,2020-01-13,0.6167971,2020-01-13
point451,2020-01-28,0.61653197,2020-01-28
point451,2020-02-12,0.61600953,2020-02-12
point451,2020-02-27,0.6168859,2020-02-27
point451,2020-03-13,0.61709833,2020-03-13
point451,2020-03-28,0.61770964,2020-03-28
point451,2020-04-12,0.6182974,2020-04-12
point451,2020-04-27,0.62716097,2020-04-27
point451,2020-05-12,0.6287722,2020-05-12
point451,2020-05-27,0.6315377,2020-05-27
point451,2020-06-11,0.6333593,2020-06-11
point451,2020-06-26,0.63138455,2020-06-26
point451,2020-07-11,0.6270923,2020-07-11
point451,2020-07-26,0.62483525,2020-07-26
point451,2020-08-10,0.6240381,2020-08-10
point451,2020-08-25,0.6266122,2020-08-25
point451,2020-09-09,0.6274764,2020-09-09
point451,2020-09-24,0.6274807,2020-09-24
point451,2020-10-09,0.6286684,2020-10-09
point451,2020-10-24,0.6280576,2020-10-24
point451,2020-11-08,0.6264882,2020-11-08
point451,2020-11-23,0.62505114,2020-11-23
point451,2020-12-08,0.6273674,2020-12-08
point451,2020-12-23,0.6301243,2020-12-23
point451,2021-01-07,0.6310323,2021-01-07
point451,2021-01-22,0.6321851,2021-01-22
point451,2021-02-06,0.63097554,2021-02-06
point451,2021-02-21,0.62981236,2021-02-21
point451,2021-03-08,0.6287412,2021-03-08
point451,2021-03-23,0.63077694,2021-03-23
point451,2021-04-07,0.6318937,2021-04-07
point451,2021-04-22,0.63254476,2021-04-22
point451,2021-05-07,0.6327342,2021-05-07
point451,2021-05-22,0.6314662,2021-05-22
point451,2021-06-06,0.62971634,2021-06-06
point451,2021-06-21,0.62724817,2021-06-21
point451,2021-07-06,0.6296858,2021-07-06
point451,2021-07-21,0.63177717,2021-07-21
point451,2021-08-05,0.6319732,2021-08-05
point451,2021-08-20,0.63189983,2021-08-20
point451,2021-09-04,0.6312967,2021-09-04
point451,2021-09-19,0.62905097,2021-09-19
point451,2021-10-04,0.62706304,2021-10-04
point451,2021-10-19,0.62933224,2021-10-19
point451,2021-11-03,0.63138556,2021-11-03
point451,2021-11-18,0.6316268,2021-11-18
point451,2021-12-03,0.6315054,2021-12-03
point451,2021-12-18,0.63103855,2021-12-18
point451,2022-01-02,0.628877,2022-01-02
point451,2022-01-17,0.6270535,2022-01-17
point451,2022-02-01,0.62904984,2022-02-01
point451,2022-02-16,0.6312595,2022-02-16
point451,2022-03-03,0.6315001,2022-03-03
point451,2022-03-18,0.63126224,2022-03-18
point451,2022-04-02,0.63078344,2022-04-02
point451,2022-04-17,0.6288702,2022-04-17
point451,2022-05-02,0.627068,2022-05-02
point451,2022-05-17,0.62885237,2022-05-17
point451,2022-06-01,0.6307519,2022-06-01
point451,2022-06-16,0.630899,2022-06-16
point451,2022-07-01,0.63065153,2022-07-01
point451,2022-07-16,0.6302264,2022-07-16
point451,2022-07-31,0.62852013,2022-07-31
point451,2022-08-15,0.6267272,2022-08-15
point451,2022-08-30,0.62836117,2022-08-30
point451,2022-09-14,0.6301772,2022-09-14
point451,2022-09-29,0.6303548,2022-09-29
point451,2022-10-14,0.6301348,2022-10-14
point451,2022-10-29,0.62973505,2022-10-29
point451,2022-11-13,0.62815434,2022-11-13
point451,2022-11-28,0.62655276,2022-11-28
point451,2022-12-13,0.62790567,2022-12-13
point451,2022-12-28,0.6295932,2022-12-28
point451,2023-01-12,0.62978524,2023-01-12
point451,2023-01-27,0.6295762,2023-01-27
point451,2023-02-11,0.6292218,2023-02-11
point451,2023-02-26,0.6278625,2023-02-26
point451,2023-03-13,0.6263825,2023-03-13
point451,2023-03-28,0.62747216,2023-03-28
point451,2023-04-12,0.6290535,2023-04-12
point451,2023-04-27,0.62923884,2023-04-27
point451,2023-05-12,0.6290447,2023-05-12
point451,2023-05-27,0.62874126,2023-05-27
point451,2023-06-11,0.62759304,2023-06-11
point451,2023-06-26,0.6262368,2023-06-26
point451,2023-07-11,0.6271363,2023-07-11
point451,2023-07-26,0.62857777,2023-07-26
point451,2023-08-10,0.62875307,2023-08-10
point451,2023-08-25,0.62858087,2023-08-25
point451,2023-09-09,0.6283173,2023-09-09
point451,2023-09-24,0.62732536,2023-09-24
point451,2023-10-09,0.6260829,2023-10-09
point451,2023-10-24,0.6268239,2023-10-24
point451,2023-11-08,0.6281421,2023-11-08
point451,2023-11-23,0.62831676,2023-11-23
point451,2023-12-08,0.62816983,2023-12-08
point451,2023-12-23,0.6279449,2023-12-23
point451,2024-01-07,0.627087,2024-01-07
point451,2024-01-22,0.62596816,2024-01-22
point451,2024-02-06,0.62656975,2024-02-06
point451,2024-02-21,0.62777704,2024-02-21
point451,2024-03-07,0.6279457,2024-03-07
point451,2024-03-22,0.627818,2024-03-22
point451,2024-04-06,0.6276271,2024-04-06
point451,2024-04-21,0.62689245,2024-04-21
point451,2024-05-06,0.62587756,2024-05-06
point451,2024-05-21,0.6263748,2024-05-21
point451,2024-06-05,0.62748444,2024-06-05
point451,2024-06-20,0.6276419,2024-06-20
point451,2024-07-05,0.6275304,2024-07-05
point451,2024-07-20,0.62736773,2024-07-20
point451,2024-08-04,0.62673116,2024-08-04
point451,2024-08-19,0.6258061,2024-08-19
point451,2024-09-03,0.62622637,2024-09-03
point451,2024-09-18,0.6272514,2024-09-18
point451,2024-10-03,0.6273952,2024-10-03
point451,2024-10-18,0.6272973,2024-10-18
point451,2024-11-02,0.627157,2024-11-02
