point,date,pred_TimeGPT,date_original_timegpt
point401,2020-01-13,0.73304987,2020-01-13
point401,2020-01-28,0.7332303,2020-01-28
point401,2020-02-12,0.7320148,2020-02-12
point401,2020-02-27,0.731197,2020-02-27
point401,2020-03-13,0.73278344,2020-03-13
point401,2020-03-28,0.7336945,2020-03-28
point401,2020-04-12,0.73416793,2020-04-12
point401,2020-04-27,0.7334003,2020-04-27
point401,2020-05-12,0.73260415,2020-05-12
point401,2020-05-27,0.7319218,2020-05-27
point401,2020-06-11,0.7311281,2020-06-11
point401,2020-06-26,0.73206145,2020-06-26
point401,2020-07-11,0.73367894,2020-07-11
point401,2020-07-26,0.7347611,2020-07-26
point401,2020-08-10,0.7362794,2020-08-10
point401,2020-08-25,0.73668987,2020-08-25
point401,2020-09-09,0.73636,2020-09-09
point401,2020-09-24,0.73666024,2020-09-24
point401,2020-10-09,0.73739004,2020-10-09
point401,2020-10-24,0.73680526,2020-10-24
point401,2020-11-08,0.7370829,2020-11-08
point401,2020-11-23,0.7370031,2020-11-23
point401,2020-12-08,0.73710805,2020-12-08
point401,2020-12-23,0.73669297,2020-12-23
point401,2021-01-07,0.7363741,2021-01-07
point401,2021-01-22,0.7368524,2021-01-22
point401,2021-02-06,0.7372797,2021-02-06
point401,2021-02-21,0.73735243,2021-02-21
point401,2021-03-08,0.73721695,2021-03-08
point401,2021-03-23,0.7370321,2021-03-23
point401,2021-04-07,0.7365573,2021-04-07
point401,2021-04-22,0.7363264,2021-04-22
point401,2021-05-07,0.73689,2021-05-07
point401,2021-05-22,0.7374051,2021-05-22
point401,2021-06-06,0.73747677,2021-06-06
point401,2021-06-21,0.737608,2021-06-21
point401,2021-07-06,0.73753744,2021-07-06
point401,2021-07-21,0.7373096,2021-07-21
point401,2021-08-05,0.73732626,2021-08-05
point401,2021-08-20,0.7376174,2021-08-20
point401,2021-09-04,0.73770595,2021-09-04
point401,2021-09-19,0.7377821,2021-09-19
point401,2021-10-04,0.7377885,2021-10-04
point401,2021-10-19,0.7376252,2021-10-19
point401,2021-11-03,0.73711586,2021-11-03
point401,2021-11-18,0.7370983,2021-11-18
point401,2021-12-03,0.7376971,2021-12-03
point401,2021-12-18,0.73782086,2021-12-18
point401,2022-01-02,0.7378405,2022-01-02
point401,2022-01-17,0.7378642,2022-01-17
point401,2022-02-01,0.7377068,2022-02-01
point401,2022-02-16,0.7371842,2022-02-16
point401,2022-03-03,0.73714644,2022-03-03
point401,2022-03-18,0.7377509,2022-03-18
point401,2022-04-02,0.7379126,2022-04-02
point401,2022-04-17,0.7379332,2022-04-17
point401,2022-05-02,0.73795784,2022-05-02
point401,2022-05-17,0.7377719,2022-05-17
point401,2022-06-01,0.7372637,2022-06-01
point401,2022-06-16,0.7372792,2022-06-16
point401,2022-07-01,0.7378826,2022-07-01
point401,2022-07-16,0.73801523,2022-07-16
point401,2022-07-31,0.73805106,2022-07-31
point401,2022-08-15,0.7380094,2022-08-15
point401,2022-08-30,0.73785424,2022-08-30
point401,2022-09-14,0.73734367,2022-09-14
point401,2022-09-29,0.73735213,2022-09-29
point401,2022-10-14,0.73794913,2022-10-14
point401,2022-10-29,0.7380361,2022-10-29
point401,2022-11-13,0.73804814,2022-11-13
point401,2022-11-28,0.7380444,2022-11-28
point401,2022-12-13,0.73788774,2022-12-13
point401,2022-12-28,0.73734385,2022-12-28
point401,2023-01-12,0.7373601,2023-01-12
point401,2023-01-27,0.7380039,2023-01-27
point401,2023-02-11,0.7380887,2023-02-11
point401,2023-02-26,0.7380925,2023-02-26
point401,2023-03-13,0.73808193,2023-03-13
point401,2023-03-28,0.73792773,2023-03-28
point401,2023-04-12,0.737391,2023-04-12
point401,2023-04-27,0.73741436,2023-04-27
point401,2023-05-12,0.7380527,2023-05-12
point401,2023-05-27,0.7381303,2023-05-27
point401,2023-06-11,0.73813236,2023-06-11
point401,2023-06-26,0.7381145,2023-06-26
point401,2023-07-11,0.7379642,2023-07-11
point401,2023-07-26,0.73743165,2023-07-26
point401,2023-08-10,0.7374544,2023-08-10
point401,2023-08-25,0.73808914,2023-08-25
point401,2023-09-09,0.73816186,2023-09-09
point401,2023-09-24,0.7381575,2023-09-24
point401,2023-10-09,0.7381433,2023-10-09
point401,2023-10-24,0.7380001,2023-10-24
point401,2023-11-08,0.73746765,2023-11-08
point401,2023-11-23,0.7374878,2023-11-23
point401,2023-12-08,0.7381215,2023-12-08
point401,2023-12-23,0.7381882,2023-12-23
point401,2024-01-07,0.7381811,2024-01-07
point401,2024-01-22,0.7381721,2024-01-22
point401,2024-02-06,0.7380287,2024-02-06
point401,2024-02-21,0.7374996,2024-02-21
point401,2024-03-07,0.73752344,2024-03-07
point401,2024-03-22,0.7381567,2024-03-22
point401,2024-04-06,0.73822236,2024-04-06
point401,2024-04-21,0.7382153,2024-04-21
point401,2024-05-06,0.73820406,2024-05-06
point401,2024-05-21,0.7380621,2024-05-21
point401,2024-06-05,0.73753697,2024-06-05
point401,2024-06-20,0.7375611,2024-06-20
point401,2024-07-05,0.73818946,2024-07-05
point401,2024-07-20,0.7382531,2024-07-20
point401,2024-08-04,0.7382452,2024-08-04
point401,2024-08-19,0.7382343,2024-08-19
point401,2024-09-03,0.7380942,2024-09-03
point401,2024-09-18,0.73757213,2024-09-18
point401,2024-10-03,0.73759604,2024-10-03
point401,2024-10-18,0.7382205,2024-10-18
point401,2024-11-02,0.73828304,2024-11-02
point401,2024-11-17,0.7382747,2024-11-17
point401,2024-12-02,0.7382644,2024-12-02
point401,2024-12-17,0.7381256,2024-12-17
point401,2025-01-01,0.73760676,2025-01-01
point401,2025-01-16,0.73763096,2025-01-16
point401,2025-01-31,0.7382518,2025-01-31
point401,2025-02-15,0.7383131,2025-02-15
point401,2025-03-02,0.7383046,2025-03-02
point401,2025-03-17,0.7382946,2025-03-17
point401,2025-04-01,0.73815626,2025-04-01
point401,2025-04-16,0.7376414,2025-04-16
point401,2025-05-01,0.7376663,2025-05-01
point401,2025-05-16,0.7382828,2025-05-16
point402,2020-01-13,0.47436377,2020-01-13
point402,2020-01-28,0.47403204,2020-01-28
point402,2020-02-12,0.47266373,2020-02-12
point402,2020-02-27,0.47219747,2020-02-27
point402,2020-03-13,0.4741979,2020-03-13
point402,2020-03-28,0.4752538,2020-03-28
point402,2020-04-12,0.47593552,2020-04-12
point402,2020-04-27,0.4767025,2020-04-27
point402,2020-05-12,0.47615188,2020-05-12
point402,2020-05-27,0.47600546,2020-05-27
point402,2020-06-11,0.47629064,2020-06-11
point402,2020-06-26,0.4765696,2020-06-26
point402,2020-07-11,0.47665983,2020-07-11
point402,2020-07-26,0.47617748,2020-07-26
point402,2020-08-10,0.4775686,2020-08-10
point402,2020-08-25,0.47829556,2020-08-25
point402,2020-09-09,0.47775912,2020-09-09
point402,2020-09-24,0.4770974,2020-09-24
point402,2020-10-09,0.47736177,2020-10-09
point402,2020-10-24,0.4765452,2020-10-24
point402,2020-11-08,0.47626036,2020-11-08
point402,2020-11-23,0.47634324,2020-11-23
point402,2020-12-08,0.47711116,2020-12-08
point402,2020-12-23,0.47750595,2020-12-23
point402,2021-01-07,0.47763833,2021-01-07
point402,2021-01-22,0.4779876,2021-01-22
point402,2021-02-06,0.477872,2021-02-06
point402,2021-02-21,0.47702706,2021-02-21
point402,2021-03-08,0.47738874,2021-03-08
point402,2021-03-23,0.47761887,2021-03-23
point402,2021-04-07,0.47761348,2021-04-07
point402,2021-04-22,0.47764087,2021-04-22
point402,2021-05-07,0.4777569,2021-05-07
point402,2021-05-22,0.47758788,2021-05-22
point402,2021-06-06,0.47742796,2021-06-06
point402,2021-06-21,0.4774493,2021-06-21
point402,2021-07-06,0.47777864,2021-07-06
point402,2021-07-21,0.4778035,2021-07-21
point402,2021-08-05,0.4777987,2021-08-05
point402,2021-08-20,0.47781333,2021-08-20
point402,2021-09-04,0.47759393,2021-09-04
point402,2021-09-19,0.47729728,2021-09-19
point402,2021-10-04,0.47741064,2021-10-04
point402,2021-10-19,0.4778263,2021-10-19
point402,2021-11-03,0.4778343,2021-11-03
point402,2021-11-18,0.47777507,2021-11-18
point402,2021-12-03,0.47773916,2021-12-03
point402,2021-12-18,0.47755787,2021-12-18
point402,2022-01-02,0.47727162,2022-01-02
point402,2022-01-17,0.47734535,2022-01-17
point402,2022-02-01,0.4777807,2022-02-01
point402,2022-02-16,0.47784036,2022-02-16
point402,2022-03-03,0.4778241,2022-03-03
point402,2022-03-18,0.47780472,2022-03-18
point402,2022-04-02,0.4776605,2022-04-02
point402,2022-04-17,0.47732297,2022-04-17
point402,2022-05-02,0.4774078,2022-05-02
point402,2022-05-17,0.477784,2022-05-17
point402,2022-06-01,0.47781813,2022-06-01
point402,2022-06-16,0.4778016,2022-06-16
point402,2022-07-01,0.4777673,2022-07-01
point402,2022-07-16,0.47764015,2022-07-16
point402,2022-07-31,0.477349,2022-07-31
point402,2022-08-15,0.4774126,2022-08-15
point402,2022-08-30,0.4777993,2022-08-30
point402,2022-09-14,0.47782904,2022-09-14
point402,2022-09-29,0.4778038,2022-09-29
point402,2022-10-14,0.4777636,2022-10-14
point402,2022-10-29,0.47762975,2022-10-29
point402,2022-11-13,0.47733158,2022-11-13
point402,2022-11-28,0.4774003,2022-11-28
point402,2022-12-13,0.477784,2022-12-13
point402,2022-12-28,0.47781682,2022-12-28
point402,2023-01-12,0.47779545,2023-01-12
point402,2023-01-27,0.47775722,2023-01-27
point402,2023-02-11,0.47762993,2023-02-11
point402,2023-02-26,0.47733575,2023-02-26
point402,2023-03-13,0.47739136,2023-03-13
point402,2023-03-28,0.4777732,2023-03-28
point402,2023-04-12,0.47780615,2023-04-12
point402,2023-04-27,0.47778693,2023-04-27
point402,2023-05-12,0.47775516,2023-05-12
point402,2023-05-27,0.47764364,2023-05-27
point402,2023-06-11,0.47734836,2023-06-11
point402,2023-06-26,0.47740093,2023-06-26
point402,2023-07-11,0.47777304,2023-07-11
point402,2023-07-26,0.47780204,2023-07-26
point402,2023-08-10,0.477782,2023-08-10
point402,2023-08-25,0.47775012,2023-08-25
point402,2023-09-09,0.47764087,2023-09-09
point402,2023-09-24,0.47735482,2023-09-24
point402,2023-10-09,0.47740126,2023-10-09
point402,2023-10-24,0.47777054,2023-10-24
point402,2023-11-08,0.4777996,2023-11-08
point402,2023-11-23,0.47777936,2023-11-23
point402,2023-12-08,0.4777486,2023-12-08
point402,2023-12-23,0.47764102,2023-12-23
point402,2024-01-07,0.47735754,2024-01-07
point402,2024-01-22,0.4774003,2024-01-22
point402,2024-02-06,0.47776508,2024-02-06
point402,2024-02-21,0.47779438,2024-02-21
point402,2024-03-07,0.47777507,2024-03-07
point402,2024-03-22,0.47774637,2024-03-22
point402,2024-04-06,0.47764382,2024-04-06
point402,2024-04-21,0.47736356,2024-04-21
point402,2024-05-06,0.47740096,2024-05-06
point402,2024-05-21,0.47776204,2024-05-21
point402,2024-06-05,0.4777903,2024-06-05
point402,2024-06-20,0.47777134,2024-06-20
point402,2024-07-05,0.47774476,2024-07-05
point402,2024-07-20,0.47764716,2024-07-20
point402,2024-08-04,0.47736976,2024-08-04
point402,2024-08-19,0.47740376,2024-08-19
point402,2024-09-03,0.4777601,2024-09-03
point402,2024-09-18,0.4777876,2024-09-18
point402,2024-10-03,0.47776878,2024-10-03
point402,2024-10-18,0.47774318,2024-10-18
point402,2024-11-02,0.47764823,2024-11-02
point402,2024-11-17,0.47737473,2024-11-17
point402,2024-12-02,0.47740558,2024-12-02
point402,2024-12-17,0.47775787,2024-12-17
point402,2025-01-01,0.47778523,2025-01-01
point402,2025-01-16,0.47776666,2025-01-16
point402,2025-01-31,0.4777421,2025-01-31
point402,2025-02-15,0.4776498,2025-02-15
point402,2025-03-02,0.4773794,2025-03-02
point402,2025-03-17,0.47740734,2025-03-17
point402,2025-04-01,0.47775567,2025-04-01
point402,2025-04-16,0.47778264,2025-04-16
point402,2025-05-01,0.4777645,2025-05-01
point402,2025-05-16,0.47774112,2025-05-16
point403,2020-01-13,0.36006987,2020-01-13
point403,2020-01-28,0.35842612,2020-01-28
point403,2020-02-12,0.3562712,2020-02-12
point403,2020-02-27,0.35500866,2020-02-27
point403,2020-03-13,0.35563514,2020-03-13
point403,2020-03-28,0.35680482,2020-03-28
point403,2020-04-12,0.3574773,2020-04-12
point403,2020-04-27,0.3577693,2020-04-27
point403,2020-05-12,0.3571856,2020-05-12
point403,2020-05-27,0.35799265,2020-05-27
point403,2020-06-11,0.3591566,2020-06-11
point403,2020-06-26,0.35971436,2020-06-26
point403,2020-07-11,0.35986692,2020-07-11
point403,2020-07-26,0.35876736,2020-07-26
point403,2020-08-10,0.36179173,2020-08-10
point403,2020-08-25,0.36296248,2020-08-25
point403,2020-09-09,0.36219397,2020-09-09
point403,2020-09-24,0.36192706,2020-09-24
point403,2020-10-09,0.3626338,2020-10-09
point403,2020-10-24,0.36129797,2020-10-24
point403,2020-11-08,0.36153728,2020-11-08
point403,2020-11-23,0.36085647,2020-11-23
point403,2020-12-08,0.36207104,2020-12-08
point403,2020-12-23,0.36259362,2020-12-23
point403,2021-01-07,0.36282346,2021-01-07
point403,2021-01-22,0.36297417,2021-01-22
point403,2021-02-06,0.36265448,2021-02-06
point403,2021-02-21,0.36144483,2021-02-21
point403,2021-03-08,0.36176357,2021-03-08
point403,2021-03-23,0.36199954,2021-03-23
point403,2021-04-07,0.36214417,2021-04-07
point403,2021-04-22,0.36226463,2021-04-22
point403,2021-05-07,0.36242393,2021-05-07
point403,2021-05-22,0.36217633,2021-05-22
point403,2021-06-06,0.36191654,2021-06-06
point403,2021-06-21,0.36205548,2021-06-21
point403,2021-07-06,0.3624027,2021-07-06
point403,2021-07-21,0.36251003,2021-07-21
point403,2021-08-05,0.3626298,2021-08-05
point403,2021-08-20,0.36274958,2021-08-20
point403,2021-09-04,0.36241496,2021-09-04
point403,2021-09-19,0.36208618,2021-09-19
point403,2021-10-04,0.36198387,2021-10-04
point403,2021-10-19,0.3626274,2021-10-19
point403,2021-11-03,0.3627073,2021-11-03
point403,2021-11-18,0.36268592,2021-11-18
point403,2021-12-03,0.36263797,2021-12-03
point403,2021-12-18,0.362425,2021-12-18
point403,2022-01-02,0.36195788,2022-01-02
point403,2022-01-17,0.36191413,2022-01-17
point403,2022-02-01,0.3625605,2022-02-01
point403,2022-02-16,0.3626979,2022-02-16
point403,2022-03-03,0.3627103,2022-03-03
point403,2022-03-18,0.36268133,2022-03-18
point403,2022-04-02,0.3624958,2022-04-02
point403,2022-04-17,0.36197385,2022-04-17
point403,2022-05-02,0.36202562,2022-05-02
point403,2022-05-17,0.3626131,2022-05-17
point403,2022-06-01,0.36270598,2022-06-01
point403,2022-06-16,0.36269784,2022-06-16
point403,2022-07-01,0.362661,2022-07-01
point403,2022-07-16,0.36247885,2022-07-16
point403,2022-07-31,0.36200765,2022-07-31
point403,2022-08-15,0.36202943,2022-08-15
point403,2022-08-30,0.36262763,2022-08-30
point403,2022-09-14,0.3626936,2022-09-14
point403,2022-09-29,0.36266747,2022-09-29
point403,2022-10-14,0.36263373,2022-10-14
point403,2022-10-29,0.36248475,2022-10-29
point403,2022-11-13,0.3620208,2022-11-13
point403,2022-11-28,0.36202803,2022-11-28
point403,2022-12-13,0.36264944,2022-12-13
point403,2022-12-28,0.3627109,2022-12-28
point403,2023-01-12,0.36268276,2023-01-12
point403,2023-01-27,0.36264384,2023-01-27
point403,2023-02-11,0.36249077,2023-02-11
point403,2023-02-26,0.36200774,2023-02-26
point403,2023-03-13,0.36203244,2023-03-13
point403,2023-03-28,0.36264998,2023-03-28
point403,2023-04-12,0.36270964,2023-04-12
point403,2023-04-27,0.36268225,2023-04-27
point403,2023-05-12,0.36264813,2023-05-12
point403,2023-05-27,0.3625002,2023-05-27
point403,2023-06-11,0.36201906,2023-06-11
point403,2023-06-26,0.3620438,2023-06-26
point403,2023-07-11,0.3626479,2023-07-11
point403,2023-07-26,0.36269984,2023-07-26
point403,2023-08-10,0.3626715,2023-08-10
point403,2023-08-25,0.36263686,2023-08-25
point403,2023-09-09,0.36249653,2023-09-09
point403,2023-09-24,0.36203027,2023-09-24
point403,2023-10-09,0.36204955,2023-10-09
point403,2023-10-24,0.36265054,2023-10-24
point403,2023-11-08,0.3626991,2023-11-08
point403,2023-11-23,0.36267003,2023-11-23
point403,2023-12-08,0.36263648,2023-12-08
point403,2023-12-23,0.36249885,2023-12-23
point403,2024-01-07,0.36203617,2024-01-07
point403,2024-01-22,0.36205474,2024-01-22
point403,2024-02-06,0.36265352,2024-02-06
point403,2024-02-21,0.3627012,2024-02-21
point403,2024-03-07,0.36267167,2024-03-07
point403,2024-03-22,0.36263874,2024-03-22
point403,2024-04-06,0.3625019,2024-04-06
point403,2024-04-21,0.36204085,2024-04-21
point403,2024-05-06,0.3620597,2024-05-06
point403,2024-05-21,0.36265197,2024-05-21
point403,2024-06-05,0.36269867,2024-06-05
point403,2024-06-20,0.36266956,2024-06-20
point403,2024-07-05,0.36263755,2024-07-05
point403,2024-07-20,0.3625037,2024-07-20
point403,2024-08-04,0.36204827,2024-08-04
point403,2024-08-19,0.3620661,2024-08-19
point403,2024-09-03,0.36265126,2024-09-03
point403,2024-09-18,0.36269647,2024-09-18
point403,2024-10-03,0.3626676,2024-10-03
point403,2024-10-18,0.36263615,2024-10-18
point403,2024-11-02,0.3625046,2024-11-02
point403,2024-11-17,0.3620553,2024-11-17
point403,2024-12-02,0.36207172,2024-12-02
point403,2024-12-17,0.36265138,2024-12-17
point403,2025-01-01,0.36269578,2025-01-01
point403,2025-01-16,0.3626671,2025-01-16
point403,2025-01-31,0.36263618,2025-01-31
