point,xgboost_rmse,other_mean_rmse,advantage,xgboost_rank,Autoformer_RMSE,Informer_RMSE,LSTM类模型_RMSE,LightGBM_RMSE,N-HiTS_RMSE,TimesFM_RMSE,XGBoost_RMSE
point359,0.0020193645748666127,0.03134893750839198,0.02932957293352537,1,0.027136396800936494,0.015807655290635627,0.0031148049819991943,0.002089194050828252,0.010899863239544455,0.12904571068640788,0.0020193645748666127
point745,0.003328537599378525,0.031100205224856976,0.02777166762547845,1,0.05490841127270871,0.03030052462488146,0.004349169182016256,0.00342945975781827,0.02142350021707236,0.07219016629464481,0.003328537599378525
point517,0.0022992881735836228,0.02777784504713837,0.025478556873554745,1,0.02961901298454302,0.0183923603887407,0.003684759046666325,0.0023501139984545,0.013174747190062728,0.09944607667436293,0.0022992881735836228
point776,0.005357542871969907,0.030495883701218373,0.025138340829248467,1,0.035366663555703295,0.027004397340111574,0.006744108654574688,0.005392334820658178,0.018023171785053933,0.09044462605120855,0.005357542871969907
point851,0.003705199271545069,0.02860720290989281,0.024902003638347738,1,0.04552209335994005,0.02780723227773903,0.006467259679900945,0.0037336256018066,0.021925455815069612,0.06618755072490062,0.003705199271545069
point70,0.005027928670456447,0.029451573098529114,0.024423644428072665,1,0.039178045615152396,0.01707476188468793,0.007005393472068997,0.005273706246806937,0.015028979509195557,0.09314855186326287,0.005027928670456447
point340,0.005817210470185319,0.029116695694204293,0.023299485224018972,1,0.044772243793864935,0.031909341150267695,0.007120867331179828,0.005953588853457643,0.018396801194902133,0.06654733184155355,0.005817210470185319
point977,0.002487677384190028,0.025474433592919916,0.022986756208729888,1,0.03635867888706462,0.021429721527673737,0.00517037493765503,0.002504953536933656,0.01938510641933804,0.06799776624885444,0.002487677384190028
point742,0.005921713836420139,0.02724831713834754,0.0213266033019274,1,0.039976014703228285,0.024850890872828296,0.007019303177349991,0.006004593516119644,0.018487445004799315,0.0671516555557597,0.005921713836420139
point921,0.0036011414974593875,0.024833373294120414,0.021232231796661026,1,0.03807825673076455,0.024946438332688243,0.004428716122860525,0.0036259616077011616,0.026223949408378987,0.05169691756232903,0.0036011414974593875
point507,0.002905991830945941,0.022664027274298833,0.019758035443352893,1,0.03502925799578182,0.021947210915046308,0.0038183742313691454,0.0029588538590301265,0.02374215783809365,0.04848830880647196,0.002905991830945941
point304,0.0034021925272397055,0.02280258130899326,0.019400388781753555,1,0.040965719474081064,0.022076663054091474,0.005008117218224083,0.003686029146065988,0.016792351027120574,0.04828660793437637,0.0034021925272397055
point487,0.003275358110388688,0.02241698820146597,0.019141630091077284,1,0.030317783039518386,0.018158411006606083,0.0043792887624377694,0.003381681278122613,0.013940604796612953,0.06432416032549805,0.003275358110388688
point640,0.0026367045358383677,0.02048336423423442,0.017846659698396054,1,0.02601463958815404,0.01653231342210208,0.0033902180481186375,0.0026854476468406423,0.018025357989310414,0.05625220871088071,0.0026367045358383677
